Time,Type,Location,Content
1617950110,Highlight,88,科技已經滲透到生活中的方方面面，數十億人對手機與社群網站上癮，資訊焦慮，又困於假訊息、過度監控，與隱私問題。
1641439962,Bookmark,3194
