Time,Type,Location,Content
1642501624,Highlight,130,沒有自制力與實力作為前提的自由，只能被稱為任性
1642505110,Highlight,276,德國哲學家尼采說：「只要有了活下去的理由，幾乎什麼都能忍受。生活有意義，就算在困境中也能甘之如飴；生活無意義，就算在順境中也度日如年。」
1642505530,Highlight,330,美國暢銷作家丹尼爾．品克在著作《動機，單純的力量》（Drive: The Surprising Truth About What Motivates Us）
1642763014,Highlight,2175,若非偶然間讀到她這段文字，我可能只會把她當成那種滿
1642663864,Bookmark,1021
