Time,Type,Location,Content
1643988586,Highlight,220,"If mosquitoes buzzed in our ears and disturbed our sleep, we knew how to kill the mosquitoes; but if a thought buzzed in our mind and kept us awake at night, most of us did not know how to kill the thought."
1643988982,Highlight,253,"Perhaps in the twenty-first century populist revolts will be staged not against an economic elite that exploits people, but against an economic elite that does not need them any more."
