Time,Type,Location,Content
1616132851,Highlight,109,有時有靈感的話，你就會感到非常振奮，有時則會感到痛苦，結果令人覺得丟臉。但無論如何，這些其實都不重要，重要的是上台，做就對了，別去想它，別擔心別人會怎麼想，甚至別在意結果，做就對了。
1616133453,Highlight,140,自己帶地圖是一回事，有人為你引路，那是大不相同的另一回事。
1625012995,Highlight,504,老師說：「當你用這種方式學習冥想時，你會發現自己的視角改變了。從思緒和感覺抽身後退一步，你會感覺空間變大了，彷彿你只是個旁觀者，看著思緒車流經過，有時你可能看著看著就忘記了。
1625013199,Highlight,529,所以千萬別誤以為，所有思緒都是不好的，不是不好，我們只是需要懂得如何與它們相處。
1625014312,Highlight,654,或許也會想在靜坐冥想時試試看。 老師說：「當
1625619720,Highlight,1047,在我的這個例子中，師兄對我講話的態度激發了我的怒氣，但從那之後，就都是我的責任了。
1625620494,Highlight,1097,別太苛責自己，一旦你發現自己分心了，就馬上回到這齣戲上，再度看戲就好。
